LocationID,ApogeeID
431,4615,2M05412451-0856320
432,4615,2M05412534-0805547
433,5173,2M05414508-0151443
434,4615,2M05415134-0751483
435,4431,2M05420795+3849453
436,4326,2M05423918+4552465
437,4615,2M05430592-0821505
438,4615,2M05432464-0813275
439,4290,2M05444569-0525344
440,4600,2M05445847+5357043
441,4154,2M05455730+2811469
442,5086,2M05460266+1442125
443,5172,2M05461906+0003295
444,4154,2M05462144+2946373
445,5172,2M05463005+0012096
446,4154,2M05463489+2738029
447,5172,2M05464194+0020027
448,5172,2M05464235+0012094
449,4599,2M05472048+0223043
450,5172,2M05473190+0133237
451,5172,2M05474500+0038418
452,4599,2M05502340+0420349
453,4561,2M05504191+3525569
454,4594,2M05511998+2546264
455,5151,2M05513819+4211445
456,4290,2M05520157-0529439
457,4290,2M05533254-0421192
458,5084,2M05534495+2650052
459,5084,2M05580210+2631429
460,5084,2M05582148+2549515
461,4156,2M05592230+3203416
462,4156,2M05593050+3038112
463,4156,2M06031425+2949475
464,4156,2M06031578+2952126
465,4156,2M06051239+3006116
466,4156,2M06061420+3001449
467,4258,2M06062902+1349573
468,4156,2M06064279+3129067
469,4418,2M06073901+2416594
470,4418,2M06092708+2413452
471,4418,2M06094745+2423085
472,5087,2M06095024+2037420
473,4571,2M06104205+1107473
474,4571,2M06125177+1140142
475,4573,2M06130913+0640221
476,4601,2M06132183+4057302
477,4565,2M06133561+2433362
478,4604,2M06140066+5758204
479,4571,2M06144155+1048140
480,4123,2M06144376-0118064
481,4595,2M06153889+1942122
482,4604,2M06155451+5532531
483,4601,2M06155982+3958486
484,4149,2M06160851+3259089
485,4123,2M06174372-0139422
486,4604,2M06182810+5621575
487,4123,2M06184995-0042094
488,4273,2M06194579+1611337
489,4123,2M06194863-0150024
490,4149,2M06195901+3259327
491,4273,2M06212323+1701485
492,4149,2M06214829+3402119
493,4149,2M06222070+3326564
494,4567,2M06232739+2123478
495,5088,2M06254578+1339498
496,4158,2M06265270+0015328
497,4146,2M06282903+1810490
498,4158,2M06290113+0103185
499,5088,2M06290653+1118068
500,4158,2M06290694+0058170
501,4146,2M06292642+1801231
502,4605,2M06295087+5118010
503,4158,2M06300433+0118350
504,4146,2M06302625+1713191
505,4158,2M06314851-0033164
506,4411,2M06320210+0456471
507,5083,2M06322785+3408213
508,5090,2M06332971+0636476
509,4411,2M06334992+0440556
510,4158,2M06335007+0001422
511,4146,2M06335441+1722526
512,4605,2M06340628+5038344
513,4158,2M06345747-0004001
514,4411,2M06350057+0428276
515,4605,2M06351099+5023151
516,4323,2M06361244+0857448
517,4278,2M06361902+3308443
