LocationID,ApogeeID,Method_ID,Class,Bin%
47,2243,2M16585446+3345290,MJ,3,0.9493433728666956
48,2000,2M17051748+3451223,MJ,3,0.9041960779429351
49,2236,2M16585129+3527124,MJ,3,0.94080377771709
50,2243,2M16585446+3345290,MJ,3,0.927259495349428
51,2000,2M17051748+3451223,MJ,3,0.991809716550256
52,4451,2M15234301+3456466,MJ,3,0.9915898809731654
53,4451,2M15242209+3703289,MJ,3,0.9289567694522158
54,2000,2M17051748+3451223,MJ,3,0.9108452002222976
55,2015,2M21013090+1036226,MJ,3,0.9817005425158803
56,2236,2M16524256+3624264,MJ,3,0.9926524301232096
57,2236,2M16585129+3527124,MJ,3,0.9162192324450559
58,4231,2M15002128+3645004,MJ,3,0.9752341760797358
59,4438,2M15064153+3604209,MJ,3,0.9400164403428316
60,4438,2M15071609+3625508,MJ,3,0.96800620401902
61,4483,2M13530934+3331183,MJ,3,0.9235474558982049
62,4483,2M13533481+3411047,MJ,3,0.901822484208343
63,4483,2M13575625+3250596,MJ,3,0.9206432422517188
64,4255,2M20104822+1939173,MJ,3,0.9071758971831856
65,4473,2M22101026-0158112,MJ,3,0.9902769075069684
66,2242,2M16570239+3939560,MJ,3,0.9376660339578652
67,2234,2M16204831+3842369,MJ,3,0.9138456082229764
68,4231,2M14550677+3816504,MJ,3,0.9807161703144066
69,4231,2M15002128+3645004,MJ,3,0.9391668041503844
70,2122,2M16303891+4109271,MJ,3,0.98722579340423
71,2122,2M16303891+4109271,MJ,3,0.905491963573244
72,2122,2M16303891+4109271,MJ,3,0.9778491987759228
73,5033,2M20393110+2011240,MJ,3,0.9760232214467444
74,2123,2M16030394+4056405,MJ,3,0.9519688531200552
75,2123,2M16102575+4054240,MJ,3,0.9900243082238356
76,2123,2M16102575+4054240,MJ,3,0.9941693991138012
77,2230,2M16133142+4244240,MJ,3,0.956993567039577
78,2122,2M16303891+4109271,MJ,3,0.9251857117765244
79,2230,2M16133142+4244240,MJ,3,0.9958072766841568
80,2230,2M16141328+4223497,MJ,3,0.9739019409369842
81,2211,2M16151078+4302279,MJ,3,0.9471642836794879
82,2357,2M16454724+4431270,MJ,3,0.9609600522491512
83,2211,2M16151078+4302279,MJ,3,0.9271030501164867
84,2367,2M15510682+4303598,MJ,3,0.9846600162360551
85,2367,2M16020994+4300191,MJ,3,0.9611926006818928
86,4234,2M15261158+4227350,MJ,3,0.9514519063737841
87,4497,2M15002525+4129043,MJ,3,0.9263774127173304
88,4497,2M15003255+4141573,MJ,3,0.9763348947579789
89,2187,2M16364334+4522156,MJ,3,0.9403177363073932
90,2203,2M16050296+4436428,MJ,3,0.9366489966515726
91,2203,2M16050296+4436428,MJ,3,0.9122683938501738
92,2366,2M15494721+4515010,MJ,3,0.9025298321935982
93,4299,2M19222466+4230507,MJ,3,0.9730790296057298
94,4525,2M17495206+4744029,MJ,3,0.9409353084037558
95,4453,2M17095788+4825288,MJ,3,0.9670737856325632
96,4453,2M17170666+4948493,MJ,3,0.9839812380700238
97,2185,2M16180337+4913376,MJ,3,0.9747968670188188
98,2185,2M16220530+4934252,MJ,3,0.9945233247923149
99,5036,2M22015121+1758532,MJ,3,0.9238297377881702
100,4474,2M22465745+0610244,MJ,3,0.9083047005252606
101,2305,2M12553534+2703495,MJ,3,0.982970236838258
102,2185,2M16092668+4811454,MJ,3,0.97000994678406
103,2185,2M16150696+4825384,MJ,3,0.9158026775731836
104,2185,2M16152599+4926138,MJ,3,0.9673130387177408
105,2185,2M16180337+4913376,MJ,3,0.9374312510220352
106,2185,2M16220530+4934252,MJ,3,0.900993676497463
107,2305,2M12553534+2703495,MJ,3,0.9423645426241264
108,5184,2M16110944+5100041,MJ,3,0.9215953826698102
109,5184,2M16141367+5226239,MJ,3,0.970457998314682
110,5184,2M16190692+5207080,MJ,3,0.932269631202038
111,4498,2M14521053+4608465,MJ,3,0.9609126501446894
112,2143,2M14201626+4212139,MJ,3,0.955899496283897
113,2143,2M14224248+4306518,MJ,3,0.9505817330399846
114,2143,2M14240587+4351304,MJ,3,0.9367046009205424
115,2256,2M17273631+5659386,MJ,3,0.9708352644858244
116,2139,2M14143219+4432121,MJ,3,0.9344254789837524
117,4434,2M13303129+3702212,MJ,3,0.9948160418685666
118,4434,2M13325589+3638313,MJ,3,0.95400672534095
119,4454,2M17145677+5851284,MJ,3,0.9269052247719304
120,2135,2M14110339+4646220,MJ,3,0.9865467776932874
121,2136,2M14175541+4555201,MJ,3,0.9517934343615649
122,4233,2M13480922+4303091,MJ,3,0.995439638959297
123,4233,2M13514152+4434174,MJ,3,0.945425924955602
124,4242,2M21171711+4905528,MJ,3,0.9094669679314772
125,4276,2M20104613+5610440,MJ,3,0.9478469289095356
126,2241,2M17285860+6044004,MJ,3,0.994208600061354
127,2225,2M14345481+5013426,MJ,3,0.9860813952394104
128,4439,2M14261159+4951057,MJ,3,0.9412305463540214
129,4439,2M14274439+5034456,MJ,3,0.9359882766893324
130,5186,2M14291014+5104238,MJ,3,0.9815984001533916
