LocationID,ApogeeID,MathodID,Classified,Bin%
128,5047,2M00010013+8143505,MV,3,0.004519845731648287
129,4120,2M00010020+6954572,MV,3,0.0040844831540016975
130,4264,2M00010054+5538499,MV,3,0.003878388970152775
131,4548,2M00010088+1649201,MV,3,0.003872997730719582
132,4590,2M00010132+0031530,MV,3,0.003975850444330618
133,5045,2M00010146+6159427,MV,3,0.8327655274364258
134,5045,2M00010170+6148575,MV,3,0.00468926990991915
135,4590,2M00010201+0101148,MV,3,0.09137391529310053
136,4424,2M00010202+5805177,MV,3,0.003908991994509338
137,4590,2M00010204+0049037,MV,3,0.07380245963063542
138,4264,2M00010323+5712426,MV,3,0.004470766624011101
139,4548,2M00010331+1549325,MV,3,0.030541328999387718
140,5045,2M00010395+6207482,MV,3,0.0063617442920826
141,4264,2M00010402+5536294,MV,3,0.00424597167360854
142,5047,2M00010475+7936110,MV,3,0.00495727207922959
143,4264,2M00010512+5651581,MV,3,0.02163746835210388
144,5047,2M00010538+8129323,MV,3,0.004346871592194743
145,4424,2M00010552+5815566,MV,3,0.0059940256456285645
146,5045,2M00010582+6302001,MV,3,0.0057395338526895455
147,4548,2M00010587+1540152,MV,3,0.0037738600082197022
148,5046,2M00010605+7522533,MV,3,0.19644011486397955
149,4591,2M00010643+6418105,MV,3,0.00405419199915801
150,4590,2M00010650+0111107,MV,3,0.09880790335699743
151,5045,2M00010686+6141041,MV,3,0.04071386859613498
152,4591,2M00010744+6445170,MV,3,0.003876219246841208
153,5045,2M00010753+6201525,MV,3,0.005548843200163778
154,4264,2M00010831+5711546,MV,3,0.08681240116152451
155,4591,2M00010832+6307323,MV,3,0.004906725755510493
156,5046,2M00010869+7333172,MV,3,0.004222842766093697
157,4264,2M00010876+5615113,MV,3,0.0040233550620805475
158,4264,2M00010955+5731400,MV,3,0.07345237547372648
159,4591,2M00011022+6346190,MV,3,0.0041605207245431755
160,4264,2M00011094+5546308,MV,3,0.004326966113983308
161,5045,2M00011143+6240187,MV,3,0.005848779765043169
162,5046,2M00011162+7426329,MV,3,0.005240131151377656
163,4264,2M00011207+5704332,MV,3,0.0039870559778457
164,5045,2M00011277+6112537,MV,3,0.006456369578574609
165,5045,2M00011291+6121488,MV,3,0.023030731160306333
166,4591,2M00011364+6452306,MV,3,0.003920943278640328
167,4591,2M00011390+6228585,MV,3,0.004390945888299968
168,4590,2M00011442+0039575,MV,3,0.27003704431218994
169,4120,2M00011486+6958352,MV,3,0.017986719062841352
170,5045,2M00011552+6156526,MV,3,0.010798874575949616
171,5045,2M00011567+6151042,MV,3,0.15473859146587227
172,4591,2M00011569+6314329,MV,3,0.013393729936631698
173,4287,2M00011644+7408211,MV,3,0.004606293214462639
174,4548,2M00011664+1523337,MV,3,0.0045053963541820405
175,4264,2M00011666+5553234,MV,3,0.004262103085551929
176,4120,2M00011675+7055096,MV,3,0.0040592923320495935
177,5046,2M00011715+7405522,MV,3,0.02531681664968621
178,5045,2M00011833+6200410,MV,3,0.003959031867753995
179,4287,2M00011850+7441400,MV,3,0.09553265842060636
180,4590,2M00011871+0011076,MV,3,0.014356384403213397
181,4591,2M00011908+6507493,MV,3,0.007917556454267586
182,4120,2M00011970+7011184,MV,3,0.004544500472720607
183,5045,2M00011993+6106531,MV,3,0.007402734305715719
184,5046,2M00012004+7447268,MV,3,0.00402595569749475
185,4287,2M00012097+7447543,MV,3,0.007059654420485175
186,4120,2M00012130+7041537,MV,3,0.00393089830150965
187,4590,2M00012134+0106579,MV,3,0.003609073804108375
188,4264,2M00012151+5634379,MV,3,0.05823377165618605
189,4287,2M00012189+7328530,MV,3,0.004293029171631569
190,5045,2M00012190+6224533,MV,3,0.007559022990877069
191,5046,2M00012200+7357187,MV,3,0.004268197753340116
192,4590,2M00012224+0034037,MV,3,0.005029024811435588
193,4548,2M00012224+1530157,MV,3,0.004232222049859907
194,4548,2M00012252+1558339,MV,3,0.9818599838809664
195,4591,2M00012412+6427175,MV,3,0.004603824233347191
196,5045,2M00012434+6134249,MV,3,0.005345474308174058
197,4591,2M00012439+6252280,MV,3,0.04914335537669471
198,4591,2M00012497+6229535,MV,3,0.004169431739151138
199,4424,2M00012502+5905339,MV,3,0.0052454694834313705
200,4590,2M00012523+0012037,MV,3,0.005264790927083105
201,5045,2M00012531+6224118,MV,3,0.006230177970787961
202,4264,2M00012551+5654020,MV,3,0.004099953329401506
203,4590,2M00012559+0006489,MV,3,0.15699314026777106
204,4120,2M00012599+7010526,MV,3,0.11795122986591824
205,4264,2M00012635+5619207,MV,3,0.0044214321493642895
206,5045,2M00012667+6217008,MV,3,0.06159529312374028
207,4548,2M00012694+1639052,MV,3,0.8630399642214972
208,4264,2M00012697+5609544,MV,3,0.005777809306629072
209,4264,2M00012711+5640299,MV,3,0.006308537306952424
